herb,symptom,indication
305,151,1
544,126,0
777,170,0
631,72,0
79,93,0
718,23,0
114,166,0
22,151,1
122,87,0
230,105,0
359,28,0
61,152,0
228,64,0
797,173,0
802,54,0
388,58,0
777,44,0
763,37,0
561,3,1
545,111,0
468,81,0
477,17,0
11,30,0
27,85,0
519,14,1
48,160,0
135,39,0
41,107,0
739,42,0
449,100,0
600,10,0
590,158,0
696,96,0
386,149,0
437,39,0
592,68,0
263,30,0
478,20,0
84,7,0
380,141,0
116,23,0
540,84,0
647,151,0
691,149,0
601,69,0
56,72,0
653,17,0
240,14,0
701,14,0
205,131,0
36,155,0
605,156,0
596,68,0
323,160,0
421,73,0
399,109,0
171,133,0
561,107,0
204,46,0
199,7,0
590,153,0
253,168,0
156,144,0
135,70,0
68,89,0
285,40,0
484,170,1
427,50,0
667,170,0
542,151,1
384,36,0
349,173,0
50,169,0
387,153,0
736,69,0
721,42,1
625,2,0
277,106,0
247,89,0
761,161,0
674,1,1
269,64,0
536,1,1
536,73,1
474,3,0
755,144,0
28,153,0
502,10,0
180,89,0
458,129,0
141,32,0
533,32,1
14,11,0
1,168,0
15,93,0
110,50,0
720,2,0
540,13,0
612,9,0
43,151,1
508,70,0
361,82,0
123,17,0
409,168,0
755,113,0
478,73,1
427,1,0
642,114,0
626,30,0
347,48,0
674,32,1
549,126,0
745,1,0
348,136,0
784,1,1
546,37,0
774,158,0
307,129,0
5,15,0
758,73,1
757,149,0
259,34,0
624,15,0
592,107,0
128,5,1
138,7,0
219,42,0
240,65,1
660,151,1
423,116,0
118,151,0
462,32,1
473,117,0
163,11,0
153,93,0
61,85,0
0,10,0
411,146,0
797,62,0
595,144,0
304,5,1
218,85,0
638,66,0
48,42,0
52,141,0
598,100,0
33,105,0
684,93,0
745,151,1
503,161,0
474,106,0
47,54,1
386,90,0
3,131,0
496,40,0
519,166,1
710,7,0
264,152,0
242,34,0
566,107,0
175,11,0
611,37,0
725,132,0
128,17,1
681,149,0
778,81,0
480,160,0
670,4,0
105,87,0
720,37,0
156,114,0
352,13,0
766,89,0
366,151,1
346,159,0
134,73,1
170,151,1
537,87,0
725,46,0
508,85,0
95,44,0
131,39,0
103,114,0
548,72,0
394,4,0
422,82,0
717,35,0
292,62,0
555,34,0
611,70,0
326,117,0
127,13,0
735,74,0
32,159,0
393,11,0
310,5,0
365,84,0
510,73,0
316,133,0
212,133,0
597,152,0
345,111,0
562,80,0
425,90,0
388,13,0
15,34,0
141,151,1
547,9,0
524,167,0
394,14,0
250,82,0
756,116,0
60,15,0
205,93,0
711,74,0
168,41,0
682,158,0
344,96,0
43,14,1
549,14,1
406,106,0
45,169,0
149,118,0
668,133,0
683,151,1
622,80,0
211,141,0
113,21,0
158,93,0
0,160,0
523,109,0
527,126,0
292,122,0
312,80,0
112,80,1
406,3,0
365,73,0
252,96,0
178,37,0
742,113,0
346,107,0
694,116,0
740,113,0
463,54,0
701,39,0
95,2,0
243,113,0
11,153,0
367,50,0
536,82,0
406,68,0
483,87,0
538,64,0
445,70,0
795,151,1
496,62,0
791,93,0
1,4,0
572,30,0
296,160,0
717,39,0
710,23,0
768,107,0
680,136,0
645,132,0
688,5,0
238,90,0
417,70,0
766,50,0
43,118,1
540,46,0
581,32,1
175,4,0
120,74,0
680,151,1
225,82,0
503,151,0
754,88,0
375,32,1
658,96,0
585,129,0
122,151,1
730,11,0
598,37,0
8,109,0
724,116,0
20,44,0
686,5,0
41,70,0
44,73,1
710,65,1
149,73,1
579,92,0
72,126,0
130,131,0
756,72,0
256,41,0
230,48,0
351,20,0
772,151,1
31,151,1
404,9,0
215,21,0
198,20,0
89,44,0
421,96,0
652,113,1
230,131,0
722,117,0
519,46,0
546,149,0
409,81,0
256,40,0
27,90,0
38,107,0
277,118,0
68,69,0
269,82,0
478,167,0
654,27,0
562,66,0
661,3,0
794,136,0
129,65,1
236,151,1
172,133,0
585,114,0
747,5,0
207,166,0
147,42,0
14,173,0
201,35,0
711,107,0
86,34,0
610,88,1
676,2,1
585,169,0
112,81,1
147,93,0
112,72,1
560,64,0
682,58,0
254,15,0
99,49,0
407,50,0
122,5,0
65,14,1
6,21,0
68,65,0
103,146,0
163,151,1
334,167,0
31,7,0
750,70,0
58,58,0
727,28,0
544,122,0
57,160,0
264,168,0
120,131,0
714,54,0
15,40,0
337,4,0
123,7,0
29,88,0
773,20,0
236,14,1
563,152,0
668,73,1
593,84,0
199,161,0
421,39,0
267,93,0
586,170,0
307,21,0
98,73,1
185,50,0
414,39,0
482,42,0
571,116,0
367,81,0
218,136,0
62,27,0
620,44,0
446,30,0
295,141,0
323,80,0
727,170,0
49,151,1
658,168,0
582,156,0
43,54,1
706,136,0
308,170,0
385,111,0
732,73,0
70,4,0
200,66,0
74,17,0
138,132,0
582,113,0
375,39,0
732,151,1
559,34,0
212,32,0
661,159,0
375,151,1
242,105,0
176,151,1
584,151,1
285,30,0
134,151,1
728,161,0
375,58,0
128,62,0
200,80,0
332,160,0
509,42,0
395,122,0
613,17,0
367,93,0
546,96,0
691,161,0
566,65,0
381,93,0
12,116,0
749,17,0
181,106,0
581,54,1
541,28,0
170,161,0
334,35,0
434,9,0
254,101,0
300,125,0
453,153,0
372,62,0
277,117,0
61,44,0
27,32,0
327,50,0
152,27,0
89,34,0
103,106,0
117,133,0
486,152,0
752,141,0
261,72,1
139,48,0
307,151,1
183,70,0
113,44,0
124,173,0
244,132,0
425,149,0
313,23,0
383,125,0
165,167,0
696,161,0
611,54,0
279,27,0
12,151,1
278,151,1
780,81,0
211,70,0
61,81,0
512,122,0
375,153,0
337,168,0
140,49,0
213,153,0
782,88,1
490,125,0
399,54,1
751,125,0
556,116,0
679,70,0
473,106,0
775,160,0
426,153,0
494,118,1
349,149,0
775,82,0
267,144,0
298,41,0
496,66,0
745,37,0
326,118,0
622,111,0
555,106,0
153,92,0
468,107,0
706,93,0
119,151,1
296,17,0
387,49,0
236,132,0
223,153,0
213,89,0
428,39,0
108,114,0
625,88,1
181,9,0
298,155,0
38,49,0
781,15,0
547,72,1
489,48,0
253,14,1
229,152,0
791,1,0
608,109,0
755,62,0
307,125,0
244,90,0
9,7,0
84,118,0
640,167,0
512,168,0
300,116,0
74,35,0
323,58,1
110,90,0
218,35,0
39,1,0
247,105,0
245,136,0
323,84,1
707,42,0
496,125,0
57,101,0
749,116,0
737,62,0
215,20,0
33,161,0
98,113,1
728,84,0
355,73,0
266,105,0
316,50,0
735,54,1
286,111,0
674,133,0
308,141,0
339,64,0
715,89,0
237,9,0
701,146,0
494,168,0
161,13,0
686,151,0
25,34,0
264,14,1
741,73,0
354,116,0
437,21,0
42,167,0
198,152,0
62,10,0
2,72,1
421,2,1
499,151,0
531,9,0
11,54,1
287,111,0
244,144,0
84,169,0
200,173,0
616,111,0
710,2,0
418,113,1
414,151,1
305,88,1
567,141,0
558,85,0
598,4,0
351,133,0
607,80,0
109,107,0
173,159,0
510,3,0
158,42,0
460,173,0
254,111,0
783,11,0
221,151,1
19,20,0
795,65,1
87,15,0
423,152,0
691,81,0
582,151,1
25,7,0
