herb,symptom,indication
33,31,1
207,45,0
646,16,0
563,76,0
221,172,1
275,75,0
664,99,1
340,140,0
777,170,0
600,98,1
185,55,0
353,38,1
786,171,1
30,51,1
631,72,0
18,71,0
79,93,0
718,23,0
236,172,1
674,53,0
671,27,0
94,11,0
500,114,0
114,166,0
745,67,1
186,67,1
614,26,0
208,22,0
200,14,1
186,98,1
122,87,0
459,76,0
499,33,1
782,51,1
591,151,1
230,105,0
250,60,1
262,13,0
359,28,0
553,51,1
576,14,1
323,45,1
1,139,0
201,51,1
445,124,1
299,115,1
782,99,1
228,64,0
86,99,1
721,33,1
13,6,0
797,173,0
691,171,0
319,51,1
277,51,1
388,58,0
86,6,1
777,44,0
550,25,0
572,65,0
308,33,1
123,51,1
583,22,0
173,31,0
561,3,1
695,17,0
43,97,1
545,111,0
122,33,1
210,138,0
468,81,0
477,17,0
57,6,1
104,90,0
244,45,1
506,67,0
519,14,1
664,143,0
660,31,0
48,160,0
135,39,0
108,86,0
119,33,1
84,162,1
792,134,1
41,107,0
397,58,0
779,119,0
546,63,1
449,100,0
135,6,1
18,33,1
735,60,1
678,135,0
796,148,1
629,130,1
32,33,1
98,74,0
81,30,0
517,45,1
81,162,1
217,99,1
637,169,0
783,45,1
182,53,0
536,99,1
785,135,0
254,169,0
217,76,0
522,99,1
590,158,0
169,128,0
532,11,0
734,43,0
696,96,0
134,172,1
94,54,0
381,51,1
637,85,0
234,51,1
492,143,0
345,134,1
415,142,0
340,99,1
478,51,1
424,33,1
192,99,1
74,99,1
437,39,0
43,33,1
592,68,0
170,67,0
518,51,1
10,6,1
244,51,1
263,30,0
297,51,1
56,103,0
641,77,0
591,63,1
536,31,1
167,45,1
755,51,1
526,119,0
672,6,1
84,7,0
323,6,1
380,141,0
401,19,0
449,99,1
116,23,0
30,91,0
45,104,0
208,99,1
4,20,0
351,99,1
505,25,0
647,151,0
25,51,1
601,69,0
421,99,1
331,29,1
598,162,1
336,99,1
290,99,1
458,158,0
278,171,0
173,77,0
700,99,1
28,45,1
350,150,0
227,51,1
445,51,1
205,131,0
36,155,0
229,38,1
605,156,0
120,6,1
637,39,0
612,99,1
593,115,0
596,68,0
63,99,1
47,172,1
177,56,0
183,60,0
525,153,0
200,33,1
421,73,0
399,109,0
517,99,1
304,38,1
192,33,1
567,26,0
562,52,0
278,51,1
561,107,0
629,132,0
140,56,0
788,119,0
123,124,1
348,51,1
199,7,0
60,33,1
512,51,0
590,153,0
364,162,1
670,134,1
299,164,0
253,168,0
290,51,1
156,144,0
620,60,0
339,51,1
54,135,0
287,31,0
309,172,0
302,128,1
570,97,0
443,124,0
779,99,1
15,31,1
672,162,1
791,53,0
562,67,1
99,33,1
771,135,0
200,135,1
677,117,0
673,19,0
753,151,0
45,114,0
