herb,symptom,indication
33,31,1
207,45,0
646,16,0
563,76,0
221,172,1
275,75,0
544,126,0
536,8,1
340,140,0
600,98,1
185,55,0
353,38,1
786,171,1
30,51,1
631,72,0
79,93,0
246,98,0
236,172,1
674,53,0
671,27,0
94,11,0
244,67,1
500,114,0
114,166,0
745,67,1
186,67,1
614,26,0
208,22,0
200,14,1
322,127,0
186,98,1
161,132,0
122,87,0
499,33,1
391,128,0
782,51,1
591,151,1
373,99,1
250,60,1
447,124,1
262,13,0
359,28,0
187,5,0
576,14,1
1,139,0
43,51,1
201,51,1
445,124,1
782,99,1
61,152,0
759,55,0
228,64,0
301,162,1
86,99,1
721,33,1
797,173,0
700,33,1
319,51,1
802,54,0
388,58,0
581,162,1
86,6,1
777,44,0
550,25,0
447,23,0
572,65,0
763,37,0
123,51,1
583,22,0
173,31,0
192,60,1
453,99,1
561,3,1
779,151,0
695,17,0
43,97,1
700,148,0
122,33,1
720,113,0
468,81,0
477,17,0
57,6,1
104,90,0
11,30,0
119,51,1
750,115,1
506,67,0
27,85,0
519,14,1
120,99,1
664,143,0
135,39,0
25,63,0
119,33,1
41,107,0
779,119,0
739,42,0
442,60,0
18,33,1
247,99,1
678,135,0
796,148,1
754,135,1
531,99,1
780,61,0
600,10,0
32,33,1
596,119,0
81,30,0
517,45,1
81,162,1
637,169,0
783,45,1
687,77,0
182,53,0
536,99,1
785,135,0
254,169,0
217,76,0
522,99,1
590,158,0
169,128,0
532,11,0
699,60,1
696,96,0
134,172,1
94,54,0
73,53,0
381,51,1
386,149,0
493,51,1
637,85,0
234,51,1
492,143,0
702,51,1
447,162,1
340,99,1
478,51,1
795,38,1
424,33,1
192,99,1
74,99,1
437,39,0
43,33,1
170,67,0
137,38,1
10,6,1
713,51,1
244,51,1
263,30,0
297,51,1
641,77,0
591,63,1
167,45,1
2,67,1
755,51,1
478,20,0
526,119,0
672,6,1
418,70,0
84,7,0
380,141,0
449,99,1
540,84,0
30,91,0
45,104,0
208,99,1
4,20,0
505,25,0
647,151,0
601,69,0
319,99,1
421,99,1
331,29,1
598,162,1
290,99,1
458,158,0
168,99,1
278,171,0
173,77,0
700,99,1
28,45,1
350,150,0
701,14,0
227,51,1
796,98,1
229,38,1
605,156,0
120,6,1
333,51,1
612,99,1
593,115,0
63,99,1
323,160,0
47,172,1
177,56,0
183,60,0
525,153,0
200,33,1
421,73,0
786,97,1
517,99,1
16,8,1
304,38,1
192,33,1
567,26,0
562,52,0
278,51,1
752,151,1
644,6,1
629,132,0
243,6,1
140,56,0
788,119,0
123,124,1
348,51,1
199,7,0
60,33,1
249,162,1
512,51,0
590,153,0
364,162,1
299,164,0
253,168,0
694,51,1
290,51,1
156,144,0
620,60,0
135,70,0
54,135,0
287,31,0
309,172,0
