herb,symptom,indication
201,43,0
634,143,1
605,33,0
186,19,0
401,56,1
105,160,0
641,42,0
69,59,0
150,69,0
695,157,1
197,126,1
121,62,0
645,122,0
767,138,1
625,51,0
335,166,0
183,145,1
269,117,0
315,56,1
115,34,0
668,106,1
472,134,1
438,94,0
711,93,0
367,93,0
327,143,1
126,56,1
363,39,0
28,96,0
475,149,0
321,153,0
132,1,0
718,155,0
800,64,0
749,90,1
409,109,0
137,144,1
801,56,1
601,90,1
348,145,1
375,39,1
172,163,0
766,125,0
473,90,1
515,126,0
339,22,1
740,38,0
345,139,0
392,138,0
194,167,0
788,26,0
630,145,1
350,138,0
578,87,0
149,90,1
691,157,0
153,49,0
258,54,0
209,169,0
152,171,0
10,90,1
688,149,0
645,167,0
684,152,0
515,155,0
7,145,1
523,96,0
334,90,1
471,87,0
702,125,0
415,28,0
173,61,1
575,90,1
436,157,1
112,173,1
645,169,0
347,136,0
555,141,0
118,98,0
420,29,0
250,63,0
605,46,0
190,27,0
126,134,0
318,90,1
772,63,0
503,144,0
452,149,0
114,90,1
644,169,0
400,153,0
179,2,0
17,152,0
58,57,0
566,121,0
757,83,0
602,41,0
275,66,0
310,103,0
58,88,0
42,64,0
125,131,0
73,164,0
322,55,0
213,172,0
488,97,0
41,26,0
165,145,1
674,55,0
242,42,0
569,9,0
418,100,0
46,54,0
177,128,0
133,122,0
636,50,0
281,106,1
391,173,1
95,150,0
760,98,0
470,56,1
176,109,0
640,122,1
12,92,0
491,27,0
44,167,0
422,121,0
516,84,0
143,18,0
644,90,1
511,50,0
25,46,0
793,128,0
389,52,0
546,55,0
596,22,1
79,67,0
478,134,0
588,116,0
598,142,0
607,18,0
752,102,0
635,2,1
308,144,0
559,22,0
614,134,1
44,3,0
179,35,0
113,34,0
614,106,1
94,138,0
436,84,0
423,127,0
248,158,0
682,106,0
634,72,0
717,149,0
116,157,1
274,156,1
633,143,1
193,105,0
580,156,1
727,63,0
643,106,1
716,41,0
437,80,0
230,173,1
717,55,0
505,109,0
611,139,1
234,81,0
787,72,0
196,37,0
758,166,0
169,3,0
452,143,0
624,155,0
480,78,0
780,145,1
667,138,0
124,145,1
520,25,0
251,143,1
180,162,0
715,106,1
141,23,0
474,10,0
560,148,0
473,89,0
400,46,0
36,149,0
167,90,1
435,77,0
743,145,1
257,138,0
418,143,0
716,147,0
360,25,0
352,90,1
769,95,0
678,127,0
146,165,0
491,167,0
15,35,0
175,58,0
197,56,1
446,114,0
555,31,0
540,34,0
298,106,1
73,56,1
454,13,0
388,134,0
377,44,0
569,157,1
291,8,0
782,35,0
213,143,1
552,105,0
284,58,0
724,170,0
42,122,1
685,27,0
77,145,1
425,15,0
711,92,0
337,9,0
68,38,0
160,156,1
230,40,0
255,90,0
80,53,0
513,56,0
89,90,1
430,138,0
176,38,0
145,21,0
523,94,0
374,158,0
326,90,1
144,137,0
357,29,0
440,91,0
789,34,0
481,168,0
159,94,0
642,106,1
288,56,1
1,41,0
395,10,0
600,109,0
128,144,1
112,145,1
140,111,0
715,78,1
20,6,0
287,39,1
790,112,0
655,158,0
631,2,0
242,122,0
102,115,0
116,65,0
781,28,0
462,90,1
773,106,1
573,17,0
172,57,0
425,106,1
91,134,0
561,90,1
112,22,1
236,52,0
312,64,0
196,172,0
147,134,1
648,96,0
76,22,0
46,85,0
540,80,0
393,145,1
302,49,0
236,82,0
261,131,0
420,9,0
592,123,0
235,33,0
