herb,symptom,indication
260,99,1
434,51,1
409,81,0
2,138,0
240,65,1
433,51,1
200,173,0
506,133,0
548,163,0
209,63,1
698,59,0
129,65,1
173,159,0
40,99,1
660,115,1
469,51,1
475,67,1
749,75,0
208,63,1
474,97,1
682,97,1
763,27,0
61,81,0
578,99,1
254,169,0
540,162,1
210,51,0
791,1,0
173,31,0
705,6,1
68,65,0
786,134,1
450,91,0
717,39,0
246,98,0
23,84,0
761,38,1
417,70,0
607,80,0
103,106,0
143,45,1
668,33,1
597,87,0
416,63,1
329,98,1
490,121,0
303,145,0
638,66,0
32,99,1
205,51,1
477,17,0
48,104,0
516,99,1
699,51,1
741,63,1
517,51,1
137,6,1
572,65,0
244,90,0
789,166,0
584,99,1
520,75,0
155,67,1
641,134,1
278,171,0
622,104,0
2,67,1
28,63,1
461,134,1
310,98,0
732,130,1
739,172,0
49,45,1
310,5,0
700,146,0
282,121,0
290,104,0
174,134,1
206,6,1
411,97,0
747,5,0
85,11,0
21,51,1
360,102,1
214,134,1
339,64,0
699,51,1
240,51,1
715,165,0
409,51,1
44,104,0
307,21,0
686,151,0
773,121,0
452,135,0
536,1,1
11,153,0
728,161,0
84,7,0
247,89,0
112,80,1
373,119,0
440,119,0
548,162,0
541,67,1
301,99,1
151,47,0
478,20,0
74,169,0
106,95,0
119,172,1
261,97,1
503,161,0
380,6,1
198,162,1
699,67,1
699,135,1
296,17,0
126,51,0
404,9,0
496,66,0
102,124,0
229,51,1
421,75,1
439,134,1
337,99,1
277,106,0
154,148,0
578,55,0
85,61,0
656,99,1
454,148,0
749,17,0
734,43,0
104,41,0
228,172,0
426,138,0
66,34,0
384,45,1
607,52,0
240,67,1
794,136,0
250,82,0
260,45,1
29,88,0
732,172,1
173,19,0
137,33,1
120,134,1
518,161,0
369,146,0
43,151,1
730,25,0
397,58,0
43,134,1
6,116,0
203,99,1
50,169,0
43,14,1
474,98,1
539,101,0
801,0,0
795,151,1
585,25,0
582,45,1
187,87,0
710,65,1
25,99,1
414,151,1
10,6,1
726,38,0
272,47,0
668,116,0
423,77,0
31,7,0
70,4,0
418,99,0
738,43,1
13,6,0
622,80,0
287,111,0
