herb,symptom,indication
668,127,0
617,22,0
191,65,1
785,96,1
58,65,1
794,131,1
377,140,1
283,55,1
402,100,1
187,65,1
521,26,0
13,153,0
247,125,0
370,94,1
191,55,1
488,55,1
567,10,0
778,150,1
120,5,0
172,133,0
548,131,1
281,151,1
320,148,1
293,60,0
483,65,1
770,124,1
653,65,1
711,164,0
111,37,0
644,71,0
92,96,1
363,40,0
256,70,0
81,169,0
717,61,0
87,130,1
12,137,0
254,72,1
289,155,1
332,55,1
145,94,0
257,156,1
400,147,1
691,45,1
570,65,1
617,17,0
630,65,1
209,65,1
698,6,0
211,48,0
313,94,1
205,93,0
133,162,1
195,162,1
396,55,1
798,148,1
610,148,1
382,55,1
743,29,0
602,172,0
758,94,1
162,148,1
152,73,0
625,99,0
651,151,1
410,97,0
760,48,0
595,55,1
306,163,0
25,45,1
748,168,1
93,166,0
503,42,0
403,115,0
111,156,1
646,45,0
787,55,1
83,149,0
668,111,0
731,103,0
71,101,0
134,140,1
631,89,0
90,65,1
38,131,1
705,65,1
432,131,1
780,65,0
533,168,1
556,155,0
280,76,0
622,65,1
33,162,1
13,65,1
706,148,1
106,126,0
576,75,0
54,106,1
770,23,1
202,150,1
101,45,1
294,79,0
215,151,1
68,49,0
551,163,0
206,65,1
554,130,1
432,167,0
450,156,1
524,44,0
735,80,1
783,109,0
38,55,1
784,4,0
757,45,1
309,150,1
399,140,1
32,65,1
149,173,0
297,65,1
332,162,1
773,111,0
191,96,1
402,55,1
252,65,1
456,156,1
202,55,1
633,8,0
521,140,1
538,148,1
598,107,0
609,65,1
499,92,0
509,30,0
261,115,0
287,150,1
52,119,1
52,34,0
550,123,1
54,155,1
54,97,0
252,63,0
88,134,0
313,65,1
246,65,1
796,12,1
527,94,0
440,130,1
649,94,1
511,33,0
789,40,0
597,65,1
257,115,0
84,90,0
426,72,1
164,55,1
390,30,0
563,55,1
589,20,0
290,131,1
802,55,1
497,43,0
393,35,0
383,131,1
531,99,0
766,155,0
60,82,0
572,150,0
134,80,1
536,26,0
124,170,0
509,70,1
670,55,1
401,126,0
636,51,0
561,103,0
116,33,0
466,130,0
422,65,1
184,89,0
16,130,1
491,171,0
156,65,1
716,109,0
309,124,1
126,94,1
649,55,1
122,65,1
791,21,0
458,43,0
107,69,0
196,55,1
33,124,1
568,94,1
655,151,1
456,160,0
470,131,1
626,55,1
288,115,0
206,32,0
334,168,0
97,55,1
260,75,1
799,65,1
769,12,0
305,20,0
487,45,1
737,28,0
259,45,1
52,69,0
151,94,1
386,26,0
41,130,1
52,72,1
267,42,0
761,55,1
448,78,0
118,75,0
264,95,0
309,94,1
361,133,1
293,55,1
191,130,1
405,72,1
440,75,1
122,45,1
647,55,1
10,87,0
145,145,0
569,32,0
378,55,1
252,83,0
501,98,0
418,124,1
309,130,1
313,124,1
776,128,0
26,133,0
200,119,0
622,136,0
676,130,1
300,130,1
798,130,0
405,140,1
55,59,0
440,67,0
652,45,1
117,88,0
759,71,0
185,129,0
122,64,0
799,147,1
229,122,0
392,12,1
400,135,1
399,55,1
301,45,1
672,1,1
699,115,0
121,8,0
559,130,1
609,131,1
98,130,1
19,96,0
694,59,1
691,103,1
343,158,0
309,74,0
370,124,1
773,72,1
796,65,1
5,48,0
246,148,1
51,12,1
263,86,0
507,55,1
196,36,0
802,65,1
152,165,0
41,23,1
525,77,0
723,40,0
521,149,0
646,136,0
524,17,0
796,8,0
21,2,0
607,105,0
67,115,0
379,131,1
385,55,1
82,65,1
559,80,1
186,9,0
472,151,1
296,38,0
67,56,0
450,155,1
657,143,0
260,33,0
723,170,0
705,55,1
754,45,0
162,65,1
424,45,1
382,65,1
27,55,1
502,130,1
170,161,0
81,131,1
745,43,0
673,8,0
782,91,0
420,66,0
358,140,1
389,25,0
182,148,1
319,45,1
95,130,1
475,67,0
363,79,0
243,55,1
281,72,1
499,93,0
559,96,1
651,23,1
250,83,0
106,162,0
175,77,0
231,106,0
724,39,0
631,163,0
552,69,0
551,55,1
185,147,0
399,52,0
638,11,0
35,45,0
351,123,0
295,150,1
699,83,0
79,52,0
120,65,1
634,168,0
392,65,1
576,157,0
793,72,1
107,49,0
545,82,0
185,55,0
306,131,1
789,56,0
319,86,0
669,97,0
27,56,0
745,55,1
630,45,1
585,105,0
370,24,0
479,131,0
318,55,1
27,131,1
410,12,0
678,133,0
149,168,0
637,172,0
681,147,0
140,21,0
637,55,1
65,80,1
422,62,0
490,131,1
179,55,1
490,148,1
781,72,0
661,131,1
119,156,1
120,55,1
759,44,0
641,23,0
400,65,1
309,65,1
51,31,0
125,135,0
327,115,0
475,65,1
557,65,1
229,35,0
796,55,1
581,140,0
111,23,1
712,55,1
196,65,1
717,72,1
331,35,0
669,40,0
81,106,0
595,9,1
2,162,1
787,124,1
353,151,0
609,55,1
567,167,0
50,155,1
304,131,1
528,55,1
213,45,1
418,130,1
662,131,1
345,135,1
470,150,1
389,148,1
383,82,0
82,131,1
63,155,1
414,123,0
748,58,0
29,130,1
625,155,1
412,131,1
743,49,0
69,94,1
344,139,0
353,63,0
233,148,0
786,139,0
377,80,1
777,45,1
186,30,0
285,45,1
551,31,0
658,129,0
