proteinA,proteinB
7194,13868
5833,6714
5960,13523
3555,8376
3861,6216
4842,6491
6274,12962
8032,10033
3240,5352
4587,12245
2961,10320
4537,7131
728,16019
17247,9488
4181,9474
1471,12333
4907,6630
11436,8496
7737,12157
2826,15118
2325,14699
1779,13390
4107,5455
2908,7475
3315,7437
6575,10320
11976,9940
9815,16833
1616,4966
4907,13364
1329,13498
7962,10523
763,14070
2131,3517
1813,1813
10399,8498
14414,15836
4270,16468
935,12107
700,6635
2131,8197
12795,14205
810,2416
3428,14847
3869,7626
3859,5100
4998,5464
4869,4869
2394,7321
16155,12596
7739,8293
9894,16648
11378,14817
1589,4953
4587,13365
4941,13599
2519,5036
5053,12691
4724,5452
7798,16620
16541,9940
12789,10202
4473,13015
630,2825
2640,12986
4041,7897
6631,8337
7614,16218
5625,5962
3122,11065
1420,2514
4266,9719
2841,11192
7922,15264
4305,8134
6168,8717
109,13883
3342,10040
3384,4315
8499,16037
5550,10327
15476,8997
529,4319
124,1437
885,4300
925,12816
3482,4722
1266,2624
4785,4941
2340,4887
15026,15919
3529,8593
534,6713
586,3683
945,5195
1409,1496
7309,8620
3427,13505
4941,5122
17302,9024
7501,8140
3999,5865
1993,14550
7768,8003
7740,17048
5376,5871
9531,11895
8118,12924
5661,8496
2329,15072
5476,17053
875,8318
5225,11196
5090,3976
5428,17156
8446,16612
1481,1481
8414,10405
6637,16583
10845,9906
665,10614
13123,11621
1588,4249
4213,4213
5224,5226
13383,8460
6253,14643
5052,8149
10935,8555
1469,4981
2208,4076
2666,16339
12712,10232
6017,6221
810,3708
1892,5616
839,2595
14575,15957
1123,11503
12999,11829
1892,7112
4009,12945
5508,15665
5312,8902
2437,4281
3708,4011
4887,7413
7396,9769
12284,5168
4069,4531
3005,4020
3918,14584
3115,14486
3914,12825
148,4660
1709,16823
1149,11561
3315,4844
2089,3854
1423,2631
1766,14889
871,5340
85,4086
3435,6049
10586,10940
8252,9559
7775,14364
1423,9482
5609,7707
1398,1779
2935,5729
5468,17119
4167,4167
17204,8859
5279,7472
2725,11401
1422,2241
3684,12995
5468,6209
1000,3520
654,8432
3539,7157
2208,14900
6349,16967
4958,7168
4185,6321
3992,6415
4204,5788
1529,4121
2606,11419
14026,3120
3657,5455
736,7454
3458,11386
5036,5524
1138,5455
2844,6562
667,7370
1803,5406
5455,12034
12032,16640
1416,12697
1991,2006
2674,10696
5455,7844
4075,5447
2822,9600
1411,5461
1100,5160
3844,13779
3951,6509
7771,8147
1188,9293
8156,14732
5455,10831
13570,16636
5625,15357
840,5455
4887,5146
5685,10089
7565,10172
3059,7510
2090,11109
3332,7886
3404,9880
3538,13189
1423,16083
2642,13723
4750,14704
5420,9260
3332,14983
1469,5304
13364,9383
17122,8500
5932,7272
2497,16656
665,7688
7962,12469
8304,13284
16068,9541
2630,7808
3014,17171
13826,14002
1471,8029
6160,10267
5452,8310
2576,11419
3708,7616
1537,6459
5902,12352
6929,6999
4478,4503
3298,15563
12436,11342
4910,11363
2089,5570
5455,9048
322,16247
4473,16542
821,13149
6168,16918
3115,3680
3955,11854
49,5173
16776,8445
44,2471
